"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"228","PGM",245,13,"245_13","PA",14,31,4,0,0,0,0,0,0,20.41,5.126666667,0.04,7.2,21,15.2,1.553333333,0.62,3
"229","PGM",245,14,"245_14","PA",20,31,6,0,3,1,1.383039113,2.238835606,0,26.71,5.213333333,0.05,6.333333333,19.33333333,14,1.693333333,0.306666667,3
"230","PGM",245,2,"245_2","LF",29,22,20,13,78,53,115.7497677,9.67430356,27.10767889,35.5,4.422222222,0.06,5.777777778,40.11111111,28.11111111,0.588888889,1.2,4
"231","PGM",245,4,"245_4","LF",32,49,16,14,46,58,95.37121935,6.642003006,13.87076178,26.89,4.733333333,0.07,7.466666667,35.4,26.33333333,1.026666667,1.106666667,4
"232","PGM",245,5,"245_5","LF",16,58,12,11,51,64,214.1149162,8.589717959,21.12035151,45.09,4.58,0.08,6.8,58.46666667,39.06666667,0.94,1.46,12
"233","PGM",245,6,"245_6","LF",22,53,4,13,74,71,166.2762856,9.608067184,30.61709911,77.42,4.666666667,0.21,3.266666667,33.53333333,27.06666667,1.32,1.466666667,6
"234","PGM",245,7,"245_7","SFyoung",46,33,8,9,39,35,57.24939216,9.291002395,2.568337015,43.11,4.96,0.08,5.666666667,27.53333333,22.4,1.1,0.986666667,9
"235","PGM",245,9,"245_9","LF",46,69,19,20,59,61,133.7224095,8.148961339,56.74157248,30.27,4.866666667,0.07,5.266666667,28.26666667,21.53333333,0.606666667,0.813333333,6
"236","PGM",269,1,"269_1","LBF",28,45,3,16,58,54,117.7800652,12.96411309,26.09769725,69.16,5.146666667,0.17,1.666666667,38.6,27.86666667,3.933333333,0.44,5
"237","PGM",269,10,"269_10","LF",28,42,10,14,57,64,123.9608501,9.926963767,39.00264873,62,4.213333333,0.17,4.6,38.53333333,28.86666667,1.12,1.606666667,8
"238","PGM",269,11,"269_11","LF",25,48,14,16,75,49,132.8449912,5.957931849,25.54927591,67.51,4.393333333,0.15,5.2,34.2,25.6,0.706666667,1.653333333,7
"239","PGM",269,12,"269_12","PA",9,16,1,0,0,0,0,0.6384,0,41.35,5.6,0.07,7.4,28.8,14,2.606666667,0.24,3
